722 2793
70.0 39.653678894 73.8792266846
70.0 20.4609966278 63.4003829956
70.0 27.0814819336 75.0232543945
70.0 35.5268440247 86.2780227661
70.0 19.8579883575 87.5148391724
70.0 8.82929801941 62.546169281
70.0 11.8591632843 74.6580047607
70.0 7.35361671448 88.2161407471
70.0 50.0 88.8911056519
70.0 50.0 77.7777709961
70.0 50.0 66.6644439697
70.0 50.0 55.551109314
70.0 50.0 44.4377746582
70.0 50.0 33.3244400024
70.0 50.0 22.211107254
70.0 50.0 11.0977745056
53.0081481934 50.0 92.3246154785
41.5616073608 50.0 90.8640289307
53.6722564697 50.0 82.0548477173
58.3014755249 50.0 71.5355300903
54.8140792847 50.0 60.3996963501
58.5275192261 50.0 49.2859191895
39.7108650208 50.0 82.1217041016
43.6813774109 50.0 71.4419250488
40.3326263428 50.0 60.4682426453
43.9144248962 50.0 49.2074279785
54.8191375732 50.0 37.8974380493
58.4238090515 50.0 26.5210590363
54.299030304 50.0 13.9104566574
40.3230743408 50.0 37.9834442139
43.622718811 50.0 26.1040019989
38.4931640625 50.0 12.1426525116
30.0 50.0 88.8911056519
30.0 50.0 77.7777709961
30.0 50.0 66.6644439697
30.0 50.0 55.551109314
30.0 50.0 44.4377746582
30.0 50.0 33.3244400024
30.0 50.0 22.211107254
30.0 50.0 11.0977745056
30.0 33.9402160645 92.2938766479
30.0 22.6017627716 90.8823318481
30.0 10.4578361511 90.4024200439
30.0 34.544178009 81.7292251587
30.0 39.4227333069 71.1935653687
30.0 19.1670837402 80.9530410767
30.0 26.7973976135 70.4954299927
30.0 36.1084098816 59.8162155151
30.0 39.7577934265 48.8125
30.0 20.4436855316 59.3739089966
30.0 27.2566013336 48.0644950867
30.0 8.33502578735 81.743057251
30.0 11.8983011246 70.8851776123
30.0 8.8476934433 60.0414237976
30.0 12.1399049759 48.5368461609
30.0 36.1646080017 37.2120704651
30.0 39.653678894 26.1135101318
30.0 20.4609966278 36.5943717957
30.0 27.0814819336 24.9719429016
30.0 35.5268440247 13.7169828415
30.0 19.8579883575 12.4820737839
30.0 8.82929801941 37.4463348389
30.0 11.8591632843 25.3357524872
30.0 7.35361671448 11.7788276672
100.0 80.0 88.8911056519
100.0 80.0 77.7777709961
100.0 80.0 66.6644439697
100.0 80.0 55.551109314
100.0 80.0 44.4377746582
100.0 80.0 33.3244400024
100.0 80.0 22.211107254
100.0 80.0 11.0977745056
100.0 71.7794952393 7.70688772202
100.0 61.9075317383 9.15639591217
100.0 50.3302345276 9.63138866425
100.0 38.6556510925 9.69061946869
100.0 26.603017807 9.4068069458
100.0 12.7543497086 8.21013641357
100.0 68.7756729126 18.3566551208
100.0 71.636138916 28.8894500732
100.0 68.6276702881 40.401725769
100.0 71.6429977417 51.3010635376
100.0 55.7240142822 19.541009903
100.0 61.3290557861 29.9325294495
100.0 43.7115592957 19.8906879425
100.0 49.2452468872 30.6130943298
100.0 55.3778877258 41.6025428772
100.0 61.333026886 52.5374946594
100.0 43.2252006531 42.0300712585
100.0 49.2141723633 53.4042739868
100.0 68.8662414551 62.9112930298
100.0 72.1392745972 73.4165344238
100.0 70.1921463013 83.940864563
100.0 55.7473602295 64.5267562866
100.0 62.3994369507 75.0770721436
100.0 43.46900177 65.2014389038
100.0 50.2648963928 76.7925643921
100.0 58.7785186768 87.7595901489
100.0 44.8366584778 90.0882644653
100.0 31.8105297089 19.7816314697
100.0 37.3301467896 30.7278556824
100.0 19.5232543945 19.1237125397
100.0 25.1151065826 30.3383998871
100.0 31.2755737305 41.9022865295
100.0 37.2386932373 53.5594215393
100.0 19.050786972 41.1644630432
100.0 24.991191864 53.0598144531
100.0 8.81551265717 17.9742012024
100.0 11.6526632309 29.2177066803
100.0 8.54898071289 40.06275177
100.0 11.5727033615 51.7015953064
100.0 31.2985229492 65.0297470093
100.0 37.5064544678 77.0985870361
100.0 18.9827404022 64.0378341675
100.0 24.7658882141 76.2804946899
100.0 30.5014362335 88.5859603882
100.0 18.3285923004 87.607925415
100.0 8.51064682007 62.6204414368
100.0 11.4013538361 74.5191726685
100.0 8.30140781403 85.8202667236
30.0 12.5000019073 0.0
30.0 25.0025024414 0.0
30.0 37.5050010681 0.0
30.0 50.0 0.0
43.3306694031 50.0 0.0
56.6666679382 50.0 0.0
70.0 50.0 0.0
70.0 37.4999961853 0.0
70.0 24.9974975586 0.0
70.0 12.4949979782 0.0
100.0 68.5782852173 0.0
100.0 57.1474266052 0.0
100.0 45.7165679932 0.0
100.0 34.2857131958 0.0
100.0 22.8548545837 0.0
100.0 11.423997879 0.0
100.0 80.0 0.0
88.8911056519 80.0 0.0
77.7777709961 80.0 0.0
66.6644439697 80.0 0.0
55.551109314 80.0 0.0
44.4377746582 80.0 0.0
33.3244400024 80.0 0.0
22.211107254 80.0 0.0
11.0977745056 80.0 0.0
7.68177032471 71.8391647339 0.0
9.09092903137 62.0456047058 0.0
9.52870750427 50.5149879456 0.0
9.59672832489 38.7587738037 0.0
9.40077209473 26.5646038055 0.0
8.303647995 12.5107660294 0.0
18.2046222687 69.020904541 0.0
28.6202449799 71.9105606079 0.0
39.6021347046 69.1012954712 0.0
50.7421302795 71.5632019043 0.0
19.2667865753 56.148311615 0.0
29.1889343262 62.1683120728 0.0
19.5825405121 44.004776001 0.0
38.7723617554 58.2703704834 0.0
50.8397521973 60.6262435913 0.0
62.2593994141 68.7719726562 0.0
73.1223068237 71.6553649902 0.0
